product_slug,product_name,product_id,sku,reference_sku_private,mpn,mpn_status,brand,category,gtin,gtin_status,gtin_checksum_status,reference_price_private,currency,reference_availability_private,selling_price,availability,product_url,image_url,description,seller_brand,seller_legal_name,merchant_approved
autocad-lt-2024,AUTOCAD LT 2024,LP-AFE7C1A36A,LP-AFE7C1A36A,9T8G6M,9T8G6M,assignment_unverified,Autodesk,AUTODESK,3540260057439,assignment_unverified,valid,45,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/autocad-lt-2024/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
autocad-revit-lt-suite-2024,AUTOCAD REVIT LT SUITE 2024,LP-E4CB85CCB2,LP-E4CB85CCB2,C4R2F5,C4R2F5,assignment_unverified,Autodesk,AUTODESK,093988705470,assignment_unverified,valid,89.5,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/autocad-revit-lt-suite-2024/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
autocad-revit-2023,AUTOCAD REVIT 2023,LP-55F5EC1C70,LP-55F5EC1C70,255ERM,255ERM,assignment_unverified,Autodesk,AUTODESK,0606122531875,assignment_unverified,valid,77.5,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/autocad-revit-2023/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
autodesk-inventor-2023,AUTODESK INVENTOR 2023,LP-CE34330C32,LP-CE34330C32,GL9H22,GL9H22,assignment_unverified,Autodesk,AUTODESK,0606124946349,assignment_unverified,valid,34.5,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/autodesk-inventor-2023/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
autodesk-3ds-max-2023,AUTODESK 3DS MAX 2023,LP-F7EF4DA30B,LP-F7EF4DA30B,20EM8I,20EM8I,assignment_unverified,Autodesk,AUTODESK,0606125004710,assignment_unverified,valid,34.5,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/autodesk-3ds-max-2023/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
autodesk-fusion-360-2023,AUTODESK FUSION 360 2023,LP-A3E9823139,LP-A3E9823139,5P86GM,5P86GM,assignment_unverified,Autodesk,AUTODESK,468786164406,duplicate_conflict,valid,,,,,PendingReview,https://licenzpol.it/it/product/autodesk-fusion-360-2023/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
autodesk-maya-2023,AUTODESK MAYA 2023,LP-3C6A28199D,LP-3C6A28199D,2Y6D8V,2Y6D8V,assignment_unverified,Autodesk,AUTODESK,5707795016463,assignment_unverified,valid,34.5,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/autodesk-maya-2023/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
autodesk-fusion-360-2023-448,AUTODESK FUSION 360 2023,LP-F8FB79557C,LP-F8FB79557C,5P86GM,5P86GM,assignment_unverified,Autodesk,AUTODESK,468786164406,duplicate_conflict,valid,46.9,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/autodesk-fusion-360-2023-448/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
autodesk-advance-steel-2023,AUTODESK ADVANCE STEEL 2023,LP-00AD9E4203,LP-00AD9E4203,PL33M2,PL33M2,assignment_unverified,Autodesk,AUTODESK,9798649477635,assignment_unverified,valid,34.5,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/autodesk-advance-steel-2023/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
autodesk-autocad-mechanical-2023,AUTODESK AUTOCAD MECHANICAL 2023,LP-C01193FD1B,LP-C01193FD1B,MC65G8,MC65G8,assignment_unverified,Autodesk,AUTODESK,,missing,missing,19.9,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/autodesk-autocad-mechanical-2023/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
adobe-photoshop-2023,ADOBE PHOTOSHOP 2023,LP-7A4D74F654,LP-7A4D74F654,08PL3O,08PL3O,assignment_unverified,Adobe,ADOBE,883919284989,assignment_unverified,valid,22.9,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/adobe-photoshop-2023/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
